X,Y,Z,IDS,KRIG,90-71,90-
4500,5500,3050,1.2,1.18,0.575,0.605657
4550,5500,3050,1.88,1.64,0.846,1.005361
4600,5500,3050,1.49,1.65,1.557,1.342288
4650,5500,3050,1.56,1.47,1.435,1.015491
4700,5500,3050,1.32,1.36,0.730,0.591627
4400,5550,3050,0.4,0.5,0.272,0.217323
4450,5550,3050,0.76,0.84,0.366,0.310008
4500,5550,3050,1.21,1.19,0.518,0.519629
4550,5550,3050,1.19,1.2,0.712,0.752325
4600,5550,3050,0.96,0.84,1.006,0.99199
4650,5550,3050,0.73,0.67,0.978,0.843317
4350,5600,3050,0.12,0.26,0.182,0.150424
4400,5600,3050,0.5,0.59,0.241,0.184304
4450,5600,3050,0.99,0.93,0.328,0.270177
4500,5600,3050,0.99,0.85,0.467,0.397451
4550,5600,3050,0.52,0.59,0.596,0.558347
4600,5600,3050,0.4,0.45,0.664,0.732099
4650,5600,3050,0.24,0.34,0.612,0.679353
4350,5650,3050,0.22,0.5,0.159,0.125496
4400,5650,3050,0.48,0.61,0.216,0.15451
4450,5650,3050,0.75,0.58,0.295,0.215054
4500,5650,3050,0.77,0.75,0.415,0.297258
4550,5650,3050,0.26,0.5,0.482,0.413839
4350,5700,3050,0.31,0.48,0.142,0.102491
4400,5700,3050,0.52,0.64,0.193,0.122856
4450,5700,3050,0.61,0.56,0.265,0.161662
4500,5700,3050,0.52,0.52,0.354,0.221928
4450,4950,3025,0.53,0.49,0.593,0.638047
4500,4950,3025,0.53,0.6,0.615,0.624055
4550,4950,3025,0.43,0.5,0.743,0.606004
4600,4950,3025,0.32,0.39,0.447,0.475312
4650,4950,3025,0.25,0.23,0.261,0.315304
4700,4950,3025,0.16,0.21,0.167,0.200335
4750,4950,3025,0.09,0.12,0.108,0.129861
4450,5000,3025,0.58,0.64,0.621,0.632555
4500,5000,3025,0.81,0.71,0.652,0.627151
4550,5000,3025,0.82,0.77,0.985,0.685908
4600,5000,3025,0.65,0.74,0.640,0.565137
4650,5000,3025,0.47,0.45,0.357,0.376697
4700,5000,3025,0.24,0.22,0.210,0.245641
4750,5000,3025,0.09,0.12,0.131,0.163318
4450,5050,3025,0.78,0.72,0.644,0.625521
4500,5050,3025,1.01,0.91,0.674,0.622505
4550,5050,3025,1.02,1.02,1.164,0.770158
4600,5050,3025,0.78,0.77,0.866,0.67256
4650,5050,3025,0.51,0.51,0.489,0.457073
4700,5050,3025,0.34,0.31,0.270,0.305286
4750,5050,3025,0.15,0.2,0.160,0.205317
4450,5100,3025,0.59,0.64,0.664,0.606456
4500,5100,3025,0.99,0.96,0.703,0.625858
4550,5100,3025,1.14,1.12,1.275,0.849253
4600,5100,3025,0.93,1.01,1.097,0.82531
4650,5100,3025,0.56,0.53,0.615,0.57148
4700,5100,3025,0.36,0.38,0.351,0.383283
4750,5100,3025,0.25,0.27,0.212,0.257933
4450,5150,3025,0.37,0.55,0.674,0.591471
4500,5150,3025,0.42,0.67,0.720,0.639737
4550,5150,3025,1.51,1.32,1.293,0.959656
4600,5150,3025,1.22,1.09,1.313,1.016613
4650,5150,3025,0.65,0.59,0.742,0.720048
4700,5150,3025,0.31,0.35,0.455,0.484733
4750,5150,3025,0.25,0.26,0.295,0.317462
4450,5200,3025,0.32,0.34,0.686,0.588561
4500,5200,3025,0.64,0.67,0.730,0.68751
4550,5200,3025,1.26,1.15,1.249,1.064542
4600,5200,3025,1.2,1.13,1.533,1.243536
4650,5200,3025,0.73,0.77,0.908,0.898261
4700,5200,3025,0.46,0.54,0.600,0.591364
4750,5200,3025,0.47,0.63,0.404,0.383246
4450,5250,3025,0.29,0.32,0.670,0.573786
4500,5250,3025,0.38,0.42,0.736,0.755308
4550,5250,3025,0.93,0.95,1.198,1.182361
4600,5250,3025,1.29,1.28,1.695,1.455475
4650,5250,3025,0.93,1,1.185,1.071808
4700,5250,3025,1.14,1.11,0.783,0.708739
4750,5250,3025,1.21,1.07,0.506,0.438073
4450,5300,3025,0.32,0.36,0.605,0.523842
4500,5300,3025,0.4,0.46,0.751,0.811443
4550,5300,3025,0.95,0.93,1.186,1.263823
4600,5300,3025,1.56,1.58,1.885,1.627309
4650,5300,3025,1.54,1.58,1.488,1.239052
4700,5300,3025,1.3,1.4,0.966,0.817217
4750,5300,3025,1.23,1.06,0.603,0.448995
4800,5300,3025,0.88,0.77,0.365,0.237178
4450,5350,3025,0.41,0.42,0.536,0.475427
4500,5350,3025,0.52,0.58,0.723,0.796421
4550,5350,3025,1.01,1.09,1.221,1.273715
4600,5350,3025,1.83,1.78,1.985,1.737382
4650,5350,3025,2.08,2.04,1.629,1.383179
4700,5350,3025,1.49,1.39,1.027,0.815526
4750,5350,3025,0.5,0.63,0.598,0.443986
4800,5350,3025,0.38,0.45,0.344,0.237841
4450,5400,3025,0.33,0.42,0.493,0.432391
4500,5400,3025,0.57,0.72,0.677,0.73118
4550,5400,3025,1.4,1.41,1.208,1.257729
4600,5400,3025,1.88,1.95,1.882,1.746324
4650,5400,3025,1.06,1.22,1.540,1.31899
4700,5400,3025,1.2,1.16,0.965,0.782559
4750,5400,3025,0.37,0.59,0.550,0.429117
4800,5400,3025,0.42,0.46,0.309,0.2268
4450,5450,3025,0.6,0.62,0.448,0.389721
4500,5450,3025,0.9,0.83,0.632,0.666025
4550,5450,3025,1.97,1.88,0.972,1.161512
4600,5450,3025,2.81,2.66,1.682,1.645629
4650,5450,3025,0.81,1.04,1.421,1.177348
4700,5450,3025,0.9,0.77,0.868,0.701244
4750,5450,3025,0.41,0.48,0.465,0.386051
4800,5450,3025,0.42,0.51,0.273,0.210247
4450,5500,3025,0.81,0.72,0.402,0.355024
4500,5500,3025,0.89,0.87,0.570,0.604674
4550,5500,3025,1.59,1.42,0.802,1.012234
4600,5500,3025,2.08,2.08,1.335,1.345967
4650,5500,3025,1.55,1.46,1.261,1.015473
4700,5500,3025,0.88,0.85,0.733,0.613492
4750,5500,3025,0.44,0.5,0.387,0.340907
4450,5550,3025,0.8,0.73,0.361,0.319579
4500,5550,3025,1.03,0.96,0.512,0.532455
4550,5550,3025,0.98,0.97,0.690,0.786868
4600,5550,3025,1.04,1.09,0.943,1.027222
4650,5550,3025,0.92,0.89,0.978,0.868077
4700,5550,3025,0.64,0.7,0.597,0.525929
4400,5600,3025,0.46,0.5,0.235,0.189159
4450,5600,3025,0.65,0.62,0.324,0.279843
4500,5600,3025,0.74,0.66,0.458,0.425341
4550,5600,3025,0.66,0.74,0.599,0.594023
4600,5600,3025,0.75,0.64,0.700,0.769622
4650,5600,3025,0.49,0.43,0.689,0.706412
4700,5600,3025,0.35,0.42,0.483,0.450864
4400,5650,3025,0.44,0.51,0.210,0.160218
4450,5650,3025,0.61,0.55,0.291,0.229648
4500,5650,3025,0.58,0.67,0.404,0.324071
4550,5650,3025,0.28,0.36,0.499,0.443419
4600,5650,3025,0.34,0.32,0.549,0.571387
4650,5650,3025,0.12,0.24,0.484,0.561795
4450,5700,3025,0.55,0.54,0.264,0.177517
4500,5700,3025,0.5,0.6,0.352,0.243064
4550,5700,3025,0.37,0.44,0.408,0.331327
4750,4950,3000,0.1,0.12,0.131,0.151768
4500,5000,3000,0.73,0.64,0.633,0.609549
4550,5000,3000,0.49,0.47,0.952,0.69585
4600,5000,3000,0.35,0.4,0.662,0.620947
4650,5000,3000,0.5,0.72,0.396,0.417943
4700,5000,3000,0.2,0.19,0.245,0.277851
4750,5000,3000,0.11,0.13,0.160,0.187173
4500,5050,3000,0.64,0.61,0.655,0.604429
4550,5050,3000,0.71,0.72,1.107,0.76472
4600,5050,3000,0.69,1.04,0.855,0.72994
4650,5050,3000,0.62,0.93,0.505,0.513683
4700,5050,3000,0.95,0.83,0.306,0.346732
4750,5050,3000,0.2,0.45,0.197,0.230585
4500,5100,3000,0.71,0.61,0.680,0.601848
4550,5100,3000,0.59,0.74,1.199,0.856048
4600,5100,3000,0.97,1.29,1.079,0.889134
4650,5100,3000,2.88,1.99,0.614,0.633422
4700,5100,3000,1.3,0.89,0.384,0.422543
4750,5100,3000,0.75,0.87,0.258,0.276245
4500,5150,3000,0.92,0.89,0.691,0.635751
4550,5150,3000,1.36,1.34,1.207,0.961115
4600,5150,3000,0.94,1.03,1.308,1.056411
4650,5150,3000,1.03,1.17,0.735,0.754006
4700,5150,3000,0.87,0.89,0.478,0.505219
4750,5150,3000,0.82,0.9,0.332,0.332874
4500,5200,3000,0.59,0.9,0.693,0.69151
4550,5200,3000,2.42,2.37,1.170,1.044592
4600,5200,3000,1.89,1.62,1.446,1.215562
4650,5200,3000,0.68,0.71,0.912,0.88727
4700,5200,3000,0.57,0.57,0.594,0.59578
4750,5200,3000,0.73,0.69,0.412,0.397456
4500,5250,3000,0.76,1.16,0.697,0.739271
4550,5250,3000,2.74,2.51,1.109,1.117847
4600,5250,3000,1.89,1.56,1.513,1.344557
4650,5250,3000,0.75,0.78,1.122,1.028702
4700,5250,3000,0.62,0.63,0.735,0.695135
4750,5250,3000,0.99,0.89,0.502,0.451952
4500,5300,3000,0.64,0.71,0.713,0.779113
4550,5300,3000,1.58,1.73,1.076,1.153959
4600,5300,3000,1.48,1.62,1.590,1.466894
4650,5300,3000,1.49,1.67,1.339,1.151096
4700,5300,3000,0.55,0.6,0.850,0.793689
4750,5300,3000,0.8,0.83,0.539,0.454138
4500,5350,3000,0.32,0.53,0.732,0.785464
4550,5350,3000,1.37,1.27,1.079,1.167375
4600,5350,3000,2.3,2.04,1.633,1.551864
4650,5350,3000,4,2.99,1.364,1.248847
4700,5350,3000,1.53,1.85,0.834,0.804205
4750,5350,3000,0.72,0.8,0.520,0.453992
4500,5400,3000,0.62,0.62,0.696,0.746019
4550,5400,3000,0.91,0.91,1.063,1.147041
4600,5400,3000,1.06,1.52,1.476,1.557298
4650,5400,3000,1.57,1.74,1.285,1.2533
4700,5400,3000,1.37,1.56,0.789,0.786932
4750,5400,3000,1.05,1.09,0.487,0.436772
4450,5450,3000,0.43,0.42,0.444,0.406275
4500,5450,3000,0.69,0.63,0.638,0.687205
4550,5450,3000,1.32,1.39,0.929,1.108533
4600,5450,3000,1.06,1.24,1.338,1.50675
4650,5450,3000,0.93,1.11,1.170,1.130722
4700,5450,3000,1.31,1.41,0.713,0.715954
4750,5450,3000,1.18,1.13,0.455,0.402901
4800,5450,3000,0.86,0.79,0.294,0.221976
4450,5500,3000,0.48,0.45,0.400,0.368353
4500,5500,3000,0.71,0.73,0.577,0.618966
4550,5500,3000,1.46,1.5,0.798,1.011797
4600,5500,3000,1.06,1.24,1.143,1.296161
4650,5500,3000,1.28,1.22,1.043,0.992616
4700,5500,3000,0.77,0.89,0.643,0.621997
4750,5500,3000,0.4,0.42,0.403,0.3584
4450,5550,3000,0.5,0.51,0.361,0.330703
4500,5550,3000,0.78,0.81,0.514,0.548277
4550,5550,3000,1.3,1.19,0.689,0.817729
4600,5550,3000,1.19,1.16,0.905,1.038455
4650,5550,3000,1.31,1.13,0.919,0.862174
4700,5550,3000,0.48,0.55,0.572,0.534396
4750,5550,3000,0.23,0.24,0.351,0.31508
4450,5600,3000,0.29,0.38,0.326,0.28862
4500,5600,3000,0.51,0.5,0.454,0.447158
4550,5600,3000,0.72,0.76,0.593,0.630706
4600,5600,3000,0.6,0.59,0.706,0.800573
4650,5600,3000,0.45,0.47,0.755,0.731132
4700,5600,3000,0.23,0.21,0.499,0.459174
4400,5650,3000,0.28,0.4,0.208,0.165593
4450,5650,3000,0.4,0.41,0.296,0.242332
4500,5650,3000,0.51,0.46,0.400,0.350133
4550,5650,3000,0.53,0.48,0.503,0.478878
4600,5650,3000,0.29,0.33,0.575,0.609593
4650,5650,3000,0.22,0.21,0.567,0.581355
4700,5650,3000,0.1,0.13,0.408,0.395875
4750,5650,3000,0.13,0.17,0.261,0.236427
4500,5700,3000,0.39,0.32,0.348,0.266668
4550,5700,3000,0.3,0.33,0.418,0.358368
4600,5700,3000,0.16,0.19,0.464,0.457438
4650,5700,3000,0.14,0.14,0.441,0.463273
4700,5700,3000,0.14,0.16,0.330,0.329721
4750,5700,3000,0.14,0.17,0.222,0.203583
4500,5000,2975,0.35,0.36,0.628,0.60149
4550,5000,2975,0.49,0.48,0.894,0.69014
4600,5000,2975,0.67,0.72,0.649,0.657723
4650,5000,2975,0.6,0.64,0.387,0.461066
4700,5000,2975,0.26,0.45,0.259,0.316281
4500,5050,2975,0.39,0.36,0.648,0.5956
4550,5050,2975,0.73,0.8,1.021,0.762121
4600,5050,2975,0.83,1.1,0.827,0.774646
4650,5050,2975,0.97,0.88,0.485,0.546647
4700,5050,2975,0.59,0.66,0.313,0.377248
4500,5100,2975,0.44,0.44,0.658,0.601232
4550,5100,2975,0.72,0.84,1.118,0.844476
4600,5100,2975,1.52,1.45,1.046,0.89668
4650,5100,2975,2.05,1.56,0.596,0.641314
4700,5100,2975,0.98,0.82,0.381,0.441943
4500,5150,2975,0.45,0.55,0.660,0.634541
4550,5150,2975,1.18,1.21,1.129,0.916143
4600,5150,2975,1.6,1.5,1.220,1.020008
4650,5150,2975,1.36,1.32,0.712,0.749608
4700,5150,2975,0.57,0.78,0.463,0.518022
4500,5200,2975,0.77,0.88,0.660,0.676475
4550,5200,2975,2.01,2.01,1.073,0.977163
4600,5200,2975,1.65,1.53,1.262,1.127108
4650,5200,2975,0.78,0.82,0.870,0.872542
4700,5200,2975,0.58,0.61,0.566,0.602343
4500,5250,2975,1.12,1.16,0.667,0.711855
4550,5250,2975,2.17,2.01,0.997,1.025918
4600,5250,2975,1.02,1.16,1.341,1.22635
4650,5250,2975,0.57,0.57,1.028,0.969231
4700,5250,2975,0.65,0.68,0.690,0.695223
4500,5300,2975,1.09,1.12,0.686,0.740786
4550,5300,2975,1.5,1.48,0.986,1.065741
4600,5300,2975,1.2,1.1,1.398,1.322972
4650,5300,2975,0.59,0.63,1.134,1.060414
4700,5300,2975,0.64,0.64,0.725,0.77562
4500,5350,2975,0.47,0.61,0.738,0.757251
4550,5350,2975,1.35,1.32,1.008,1.096911
4600,5350,2975,0.88,1.03,1.313,1.388952
4650,5350,2975,0.92,0.89,1.113,1.14579
4700,5350,2975,0.65,0.72,0.709,0.809071
4750,5350,2975,0.7,0.75,0.489,0.461879
4500,5400,2975,0.56,0.53,0.701,0.748366
4550,5400,2975,0.68,0.81,0.983,1.088875
4600,5400,2975,0.59,0.78,1.202,1.432492
4650,5400,2975,0.9,0.91,1.062,1.189243
4700,5400,2975,1.12,0.99,0.686,0.779122
4750,5400,2975,0.86,0.75,0.463,0.45135
4500,5450,2975,0.65,0.57,0.644,0.695445
4550,5450,2975,1.09,1.05,0.903,1.061105
4600,5450,2975,1.34,1.18,1.122,1.417884
4650,5450,2975,1.14,1.1,1.008,1.111259
4700,5450,2975,1.09,1.06,0.643,0.712932
4750,5450,2975,0.79,0.74,0.437,0.422593
4500,5500,2975,0.93,0.91,0.580,0.638847
4550,5500,2975,1.43,1.38,0.793,1.004432
4600,5500,2975,1.21,1.24,1.047,1.261301
4650,5500,2975,1.08,1.06,0.937,0.983889
4700,5500,2975,0.79,0.78,0.597,0.629977
4750,5500,2975,0.41,0.43,0.404,0.382843
4800,5500,2975,0.15,0.31,0.271,0.213805
4500,5550,2975,0.64,0.77,0.513,0.569436
4550,5550,2975,1.06,1.04,0.682,0.828738
4600,5550,2975,0.88,0.9,0.880,1.060823
4650,5550,2975,0.69,0.71,0.864,0.864702
4700,5550,2975,0.64,0.62,0.557,0.54783
4750,5550,2975,0.29,0.31,0.362,0.335388
4800,5550,2975,0.12,0.16,0.238,0.190462
4500,5600,2975,0.62,0.6,0.452,0.472179
4550,5600,2975,0.54,0.52,0.588,0.662672
4600,5600,2975,0.5,0.51,0.720,0.836046
4650,5600,2975,0.57,0.51,0.739,0.746154
4700,5600,2975,0.35,0.35,0.521,0.472969
4750,5600,2975,0.2,0.19,0.315,0.288615
4800,5600,2975,0.09,0.19,0.207,0.16716
4500,5650,2975,0.46,0.43,0.396,0.371727
4550,5650,2975,0.4,0.42,0.506,0.51641
4600,5650,2975,0.33,0.35,0.587,0.649293
4650,5650,2975,0.3,0.34,0.620,0.616253
4700,5650,2975,0.28,0.31,0.456,0.407941
4750,5650,2975,0.26,0.29,0.275,0.248364
4800,5650,2975,0.16,0.17,0.181,0.147384
4600,5700,2975,0.38,0.37,0.481,0.49601
4650,5700,2975,0.33,0.35,0.496,0.49191
4700,5700,2975,0.29,0.31,0.380,0.351854
4750,5700,2975,0.27,0.29,0.240,0.213727
4800,5700,2975,0.19,0.18,0.156,0.129103
4550,5050,2950,0.64,0.61,0.931,0.750553
4600,5050,2950,0.59,0.91,0.819,0.769848
4650,5050,2950,0.72,0.61,0.459,0.558625
4700,5050,2950,0.54,0.57,0.310,0.389653
4550,5100,2950,0.92,1.11,0.990,0.8127
4600,5100,2950,1.31,1.31,0.984,0.86701
4650,5100,2950,0.96,0.81,0.562,0.647811
4700,5100,2950,0.71,0.73,0.367,0.452143
4550,5150,2950,2.56,2.05,0.997,0.871787
4600,5150,2950,2.59,2.26,1.069,0.956413
4650,5150,2950,0.79,1.09,0.670,0.750103
4700,5150,2950,0.57,0.71,0.449,0.524169
4550,5200,2950,2.41,1.94,0.957,0.931151
4600,5200,2950,2.32,2.01,1.101,1.04359
4650,5200,2950,1.08,1.21,0.798,0.835199
4700,5200,2950,0.57,0.59,0.555,0.606558
4550,5250,2950,1.03,1.09,0.933,0.978176
4600,5250,2950,1.17,1.26,1.160,1.139657
4650,5250,2950,0.79,0.78,0.953,0.919789
4700,5250,2950,0.6,0.63,0.659,0.681584
4550,5300,2950,1.02,1.03,0.945,1.009048
4600,5300,2950,1.06,1.07,1.180,1.225679
4650,5300,2950,0.74,0.75,1.008,1.002191
4700,5300,2950,0.62,0.66,0.691,0.752832
4550,5350,2950,1.29,1.34,0.967,1.037171
4600,5350,2950,1.26,1.3,1.119,1.289716
4650,5350,2950,0.77,0.83,0.996,1.08772
4700,5350,2950,0.63,0.66,0.706,0.783102
4550,5400,2950,1.57,1.38,0.957,1.047392
4600,5400,2950,1.32,1.19,1.056,1.346188
4650,5400,2950,0.62,0.74,0.983,1.14868
4700,5400,2950,0.67,0.7,0.687,0.759134
4550,5450,2950,1.22,1.22,0.892,1.02068
4600,5450,2950,1.23,1.21,1.023,1.358705
4650,5450,2950,0.92,0.89,0.944,1.105083
4700,5450,2950,0.79,0.82,0.645,0.708129
4500,5500,2950,0.49,0.5,0.569,0.64189
4550,5500,2950,0.95,0.93,0.782,0.994648
4600,5500,2950,1.12,1.11,0.981,1.233704
4650,5500,2950,0.95,0.98,0.888,0.986213
4700,5500,2950,0.8,0.77,0.613,0.637461
4750,5500,2950,0.41,0.47,0.387,0.399178
4500,5550,2950,0.56,0.49,0.506,0.585433
4550,5550,2950,0.53,0.6,0.673,0.85278
4600,5550,2950,0.87,0.85,0.874,1.055025
4650,5550,2950,0.84,0.81,0.827,0.866231
4700,5550,2950,0.63,0.58,0.581,0.563496
4750,5550,2950,0.4,0.4,0.358,0.352621
4800,5550,2950,0.32,0.33,0.248,0.20538
4500,5600,2950,0.48,0.51,0.448,0.504621
4550,5600,2950,0.4,0.44,0.578,0.68472
4600,5600,2950,0.57,0.55,0.728,0.86779
4650,5600,2950,0.62,0.6,0.745,0.755753
4700,5600,2950,0.38,0.45,0.545,0.491183
4750,5600,2950,0.32,0.32,0.328,0.306898
4800,5600,2950,0.2,0.24,0.216,0.182596
4550,5650,2950,0.46,0.48,0.495,0.539741
4600,5650,2950,0.47,0.49,0.597,0.680933
4650,5650,2950,0.49,0.5,0.629,0.651246
4700,5650,2950,0.48,0.53,0.504,0.42538
4750,5650,2950,0.31,0.32,0.292,0.264958
4800,5650,2950,0.25,0.29,0.188,0.159019
4550,5050,2925,0.71,1.07,0.829,0.737155
4600,5050,2925,0.48,0.54,0.776,0.755999
4650,5050,2925,0.46,0.52,0.464,0.56609
4550,5100,2925,1.21,1.25,0.867,0.781913
4600,5100,2925,1.21,1.24,0.872,0.843116
4650,5100,2925,1.14,1.29,0.557,0.65105
4550,5150,2925,2.06,1.81,0.879,0.835974
4600,5150,2925,1.85,1.76,0.933,0.916235
4650,5150,2925,1.16,1.33,0.665,0.732144
4550,5200,2925,1.69,1.28,0.888,0.891484
4600,5200,2925,1.53,1.35,0.972,1.001164
4650,5200,2925,1.01,1.04,0.800,0.813924
4550,5250,2925,0.8,0.69,0.891,0.933271
4600,5250,2925,0.98,0.94,1.022,1.085272
4650,5250,2925,0.77,0.83,0.940,0.89896
4550,5300,2925,1.11,1.04,0.925,0.957379
4600,5300,2925,1.11,1.09,1.060,1.160382
4650,5300,2925,0.73,0.83,0.976,0.980108
4550,5350,2925,1.34,1.33,0.953,0.982278
4600,5350,2925,1.27,1.14,1.048,1.21274
4650,5350,2925,0.98,0.92,0.986,1.063737
4550,5400,2925,1.38,1.21,0.937,0.995343
4600,5400,2925,0.99,1.01,1.016,1.263555
4650,5400,2925,0.56,0.71,0.974,1.130799
4700,5400,2925,0.76,0.77,0.729,0.752537
4550,5450,2925,0.64,0.8,0.886,0.981931
4600,5450,2925,0.9,0.91,0.983,1.29717
4650,5450,2925,0.81,0.79,0.946,1.101558
4700,5450,2925,0.71,0.68,0.692,0.714154
4550,5500,2925,1.05,1.02,0.777,0.956755
4600,5500,2925,1.07,1.03,0.944,1.215724
4650,5500,2925,0.9,0.91,0.889,1.012111
4700,5500,2925,0.63,0.63,0.646,0.644885
4550,5550,2925,0.92,0.82,0.665,0.876742
4600,5550,2925,0.83,0.85,0.864,1.048765
4650,5550,2925,0.7,0.7,0.820,0.887419
4700,5550,2925,0.49,0.5,0.600,0.579826
4750,5550,2925,0.34,0.35,0.355,0.365447
4550,5600,2925,0.41,0.37,0.571,0.705376
4600,5600,2925,0.6,0.56,0.742,0.879279
4650,5600,2925,0.51,0.55,0.747,0.768463
4700,5600,2925,0.46,0.45,0.560,0.513887
4750,5600,2925,0.3,0.32,0.333,0.321647
4650,5650,2925,0.6,0.58,0.642,0.664392
4700,5650,2925,0.5,0.52,0.522,0.449438
4750,5650,2925,0.38,0.41,0.314,0.280093
4600,5100,2900,0.73,0.74,0.803,0.810913
4650,5100,2900,0.62,0.64,0.584,0.654534
4600,5150,2900,1.01,1,0.852,0.881174
4650,5150,2900,0.89,0.88,0.693,0.727903
4600,5200,2900,1.02,1.05,0.900,0.958322
4650,5200,2900,0.91,0.89,0.834,0.803847
4600,5250,2900,0.8,0.79,0.979,1.03664
4650,5250,2900,0.76,0.78,0.946,0.883522
4600,5300,2900,0.96,0.94,1.052,1.097939
4650,5300,2900,0.78,0.82,0.971,0.96211
4600,5350,2900,1.02,1.04,1.033,1.146026
4650,5350,2900,0.82,0.85,0.982,1.039119
4600,5400,2900,0.8,0.86,1.001,1.192447
4650,5400,2900,0.73,0.75,0.965,1.104418
4600,5450,2900,0.79,0.84,0.968,1.235122
4650,5450,2900,0.89,0.91,0.937,1.096693
4600,5500,2900,1.22,1.19,0.924,1.195738
4650,5500,2900,1.04,0.9,0.891,1.024633
4550,5550,2900,0.94,0.92,0.665,0.872562
4600,5550,2900,1.17,1.02,0.851,1.044187
4650,5550,2900,0.85,0.76,0.824,0.910929
4700,5550,2900,0.33,0.33,0.625,0.595757
4600,5600,2900,0.55,0.53,0.743,0.890924
4650,5600,2900,0.46,0.51,0.749,0.782585
4700,5600,2900,0.33,0.34,0.580,0.531378
4750,5600,2900,0.3,0.32,0.357,0.335633
