X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4350,4850,3150,0.04,0.04,0.04,0.05
4400,4850,3150,0.07,0.07,0.08,0.05
4450,4850,3150,0.08,0.07,0.09,0.05
4500,4850,3150,0.1,0.08,0.1,0.07
4550,4850,3150,0.11,0.1,0.12,0.05
4600,4850,3150,0.1,0.1,0.12,0.04
4350,4900,3150,0.04,0.05,0.05,0.05
4400,4900,3150,0.06,0.07,0.08,0.05
4450,4900,3150,0.07,0.07,0.09,0.06
4500,4900,3150,0.09,0.08,0.1,0.08
4550,4900,3150,0.11,0.09,0.11,0.06
4600,4900,3150,0.11,0.1,0.12,0.04
4350,4950,3150,0.04,0.04,0.05,0.05
4400,4950,3150,0.04,0.05,0.06,0.06
4450,4950,3150,0.06,0.06,0.08,0.06
4500,4950,3150,0.08,0.07,0.1,0.09
4550,4950,3150,0.09,0.08,0.11,0.07
4600,4950,3150,0.09,0.09,0.11,0.05
4350,5000,3150,0.04,0.04,0.05,0.05
4400,5000,3150,0.04,0.05,0.06,0.06
4450,5000,3150,0.05,0.06,0.07,0.06
4500,5000,3150,0.07,0.07,0.09,0.09
4550,5000,3150,0.08,0.07,0.09,0.08
4350,5050,3150,0.04,0.04,0.04,0.05
4500,5050,3150,0.06,0.06,0.08,0.1
4350,5100,3150,0.02,0.03,0.04,0.04
4400,5100,3150,0.03,0.04,0.05,0.05
4450,5100,3150,0.04,0.04,0.05,0.07
4500,5100,3150,0.05,0.05,0.06,0.11
4350,5150,3150,0.03,0.03,0.04,0.04
4400,5150,3150,0.03,0.04,0.04,0.05
4450,5150,3150,0.04,0.04,0.05,0.07
4500,5150,3150,0.04,0.04,0.06,0.12
4550,5150,3150,0.04,0.05,0.06,0.16
4350,5200,3150,0.03,0.04,0.04,0.04
4400,5200,3150,0.03,0.04,0.05,0.05
4450,5200,3150,0.04,0.04,0.05,0.07
4500,5200,3150,0.04,0.04,0.05,0.13
4550,5200,3150,0.05,0.05,0.05,0.21
4450,5250,3150,0.04,0.03,0.05,0.06
4350,4850,3125,0.23,0.24,0.32,0.15
4400,4850,3125,0.32,0.33,0.35,0.15
4450,4850,3125,0.34,0.33,0.36,0.15
4500,4850,3125,0.33,0.33,0.36,0.2
4550,4850,3125,0.31,0.3,0.29,0.15
4600,4850,3125,0.29,0.3,0.25,0.1
4650,4850,3125,0.22,0.29,0.2,0.07
4350,4900,3125,0.29,0.38,0.4,0.16
4400,4900,3125,0.32,0.39,0.39,0.16
4450,4900,3125,0.35,0.33,0.37,0.17
4500,4900,3125,0.33,0.33,0.38,0.23
4550,4900,3125,0.3,0.3,0.32,0.17
4600,4900,3125,0.29,0.3,0.25,0.11
4650,4900,3125,0.17,0.26,0.18,0.08
4350,4950,3125,0.23,0.32,0.34,0.16
4400,4950,3125,0.24,0.29,0.32,0.17
4450,4950,3125,0.37,0.34,0.38,0.18
4500,4950,3125,0.46,0.44,0.43,0.24
4550,4950,3125,0.35,0.3,0.34,0.21
4600,4950,3125,0.33,0.31,0.32,0.14
4650,4950,3125,0.15,0.16,0.18,0.09
4350,5000,3125,0.23,0.3,0.32,0.16
4400,5000,3125,0.22,0.27,0.33,0.18
4450,5000,3125,0.35,0.32,0.38,0.2
4500,5000,3125,0.55,0.5,0.42,0.26
4550,5000,3125,0.31,0.28,0.3,0.24
4600,5000,3125,0.25,0.21,0.2,0.16
4650,5000,3125,0.12,0.11,0.12,0.11
4350,5050,3125,0.26,0.25,0.3,0.15
4400,5050,3125,0.24,0.28,0.32,0.17
4450,5050,3125,0.29,0.27,0.32,0.21
4500,5050,3125,0.34,0.26,0.25,0.29
4550,5050,3125,0.23,0.23,0.22,0.29
4600,5050,3125,0.18,0.21,0.16,0.19
4650,5050,3125,0.09,0.08,0.08,0.13
4350,5100,3125,0.14,0.18,0.24,0.15
4400,5100,3125,0.2,0.21,0.27,0.17
4450,5100,3125,0.19,0.2,0.21,0.21
4500,5100,3125,0.19,0.22,0.2,0.31
4550,5100,3125,0.17,0.19,0.17,0.35
4600,5100,3125,0.14,0.14,0.11,0.24
4650,5100,3125,0.06,0.05,0.05,0.17
4350,5150,3125,0.18,0.2,0.24,0.14
4400,5150,3125,0.18,0.2,0.21,0.16
4450,5150,3125,0.21,0.29,0.22,0.21
4500,5150,3125,0.13,0.2,0.15,0.35
4550,5150,3125,0.36,0.35,0.21,0.45
4600,5150,3125,0.15,0.17,0.13,0.31
4650,5150,3125,0.04,0.05,0.04,0.21
4350,5200,3125,0.16,0.18,0.21,0.12
4400,5200,3125,0.14,0.12,0.16,0.15
4450,5200,3125,0.23,0.3,0.22,0.2
4500,5200,3125,0.21,0.24,0.18,0.38
4550,5200,3125,0.47,0.39,0.17,0.6
4600,5200,3125,0.2,0.21,0.1,0.4
4650,5200,3125,0.05,0.06,0.04,0.28
4350,5250,3125,0.12,0.12,0.15,0.11
4400,5250,3125,0.12,0.12,0.15,0.14
4450,5250,3125,0.22,0.26,0.2,0.18
4500,5250,3125,0.27,0.29,0.23,0.39
4550,5250,3125,0.24,0.29,0.2,0.77
4600,5250,3125,0.13,0.15,0.1,0.54
4650,5250,3125,0.06,0.06,0.05,0.36
4350,5300,3125,0.09,0.07,0.09,0.1
4400,5300,3125,0.07,0.06,0.07,0.13
4450,5300,3125,0.08,0.12,0.1,0.17
4500,5300,3125,0.12,0.12,0.09,0.36
4550,5300,3125,0.17,0.15,0.11,0.94
4600,5300,3125,0.17,0.16,0.13,0.72
4350,5350,3125,0.07,0.06,0.07,0.1
4400,5350,3125,0.05,0.06,0.06,0.12
4450,5350,3125,0.03,0.03,0.04,0.16
4500,5350,3125,0.07,0.12,0.07,0.32
4550,5350,3125,0.13,0.13,0.1,1.02
4600,5350,3125,0.15,0.14,0.13,0.86
4350,5400,3125,0.05,0.06,0.06,0.09
4400,5400,3125,0.03,0.05,0.05,0.11
4450,5400,3125,0.02,0.02,0.03,0.16
4500,5400,3125,0.03,0.04,0.03,0.29
4550,5400,3125,0.27,0.27,0.08,0.98
4600,5400,3125,0.22,0.19,0.15,1.06
4350,5450,3125,0.03,0.04,0.05,0.08
4400,5450,3125,0.02,0.03,0.03,0.1
4450,5450,3125,0.03,0.03,0.04,0.14
4500,5450,3125,0.02,0.02,0.03,0.25
4550,5450,3125,0.47,0.28,0.07,0.84
4350,5500,3125,0.03,0.03,0.04,0.07
4400,5500,3125,0.03,0.03,0.04,0.09
4450,5500,3125,0.04,0.04,0.04,0.12
4500,5500,3125,0.13,0.19,0.05,0.2
4550,5500,3125,0.23,0.06,0.06,0.63
4450,5550,3125,0.05,0.04,0.04,0.11
4500,5550,3125,0.1,0.24,0.05,0.17
4650,4850,3100,0.24,0.48,0.25,0.16
4700,4850,3100,0.14,0.35,0.18,0.11
4750,4850,3100,0.07,0.07,0.07,0.07
4400,4900,3100,0.46,0.52,0.66,0.41
4450,4900,3100,0.56,0.52,0.73,0.42
4500,4900,3100,0.65,0.58,0.78,0.56
4550,4900,3100,0.65,0.57,0.57,0.45
4600,4900,3100,0.45,0.49,0.37,0.29
4650,4900,3100,0.12,0.33,0.21,0.19
4700,4900,3100,0.09,0.29,0.17,0.12
4400,4950,3100,0.39,0.44,0.57,0.44
4450,4950,3100,0.56,0.53,0.72,0.46
4500,4950,3100,0.69,0.59,0.79,0.61
4550,4950,3100,0.63,0.55,0.64,0.53
4600,4950,3100,0.47,0.5,0.43,0.35
4650,4950,3100,0.22,0.38,0.26,0.22
4700,4950,3100,0.14,0.29,0.16,0.15
4400,5000,3100,0.37,0.41,0.53,0.47
4450,5000,3100,0.51,0.49,0.64,0.5
4500,5000,3100,0.72,0.63,0.78,0.66
4550,5000,3100,0.58,0.53,0.65,0.63
4600,5000,3100,0.5,0.5,0.5,0.42
4650,5000,3100,0.27,0.3,0.22,0.27
4700,5000,3100,0.21,0.3,0.17,0.18
4400,5050,3100,0.32,0.33,0.41,0.48
4450,5050,3100,0.45,0.45,0.61,0.53
4500,5050,3100,0.54,0.51,0.7,0.72
4550,5050,3100,0.48,0.53,0.71,0.75
4600,5050,3100,0.45,0.47,0.49,0.5
4650,5050,3100,0.29,0.34,0.29,0.33
4700,5050,3100,0.18,0.24,0.16,0.23
4400,5100,3100,0.33,0.34,0.46,0.48
4450,5100,3100,0.44,0.48,0.58,0.55
4500,5100,3100,0.63,0.63,0.75,0.78
4550,5100,3100,0.64,0.63,0.81,0.89
4600,5100,3100,0.54,0.49,0.58,0.61
4650,5100,3100,0.27,0.32,0.27,0.43
4700,5100,3100,0.1,0.14,0.11,0.31
4400,5150,3100,0.4,0.47,0.54,0.46
4450,5150,3100,0.46,0.5,0.59,0.55
4500,5150,3100,0.62,0.64,0.78,0.84
4550,5150,3100,0.9,0.82,1,1.08
4600,5150,3100,0.62,0.66,0.76,0.8
4650,5150,3100,0.31,0.27,0.26,0.57
4700,5150,3100,0.09,0.1,0.11,0.4
4750,5150,3100,0.08,0.09,0.09,0.32
4400,5200,3100,0.38,0.35,0.5,0.42
4450,5200,3100,0.58,0.74,0.79,0.52
4500,5200,3100,0.73,0.77,0.92,0.89
4550,5200,3100,0.95,0.92,1.17,1.43
4600,5200,3100,0.78,0.77,0.87,1.04
4650,5200,3100,0.21,0.23,0.24,0.75
4700,5200,3100,0.09,0.1,0.11,0.55
4750,5200,3100,0.08,0.09,0.1,0.46
4400,5250,3100,0.35,0.32,0.45,0.39
4450,5250,3100,0.83,0.92,1.03,0.48
4500,5250,3100,0.91,0.9,1.1,0.9
4550,5250,3100,1,0.99,1.3,1.88
4600,5250,3100,0.87,0.83,0.89,1.36
4650,5250,3100,0.11,0.12,0.14,0.97
4700,5250,3100,0.1,0.11,0.13,0.78
4400,5300,3100,0.26,0.3,0.3,0.37
4450,5300,3100,0.47,0.58,0.38,0.47
4500,5300,3100,0.93,0.89,0.6,0.86
4550,5300,3100,1.14,1.01,0.99,2.09
4600,5300,3100,1.09,1.03,0.86,1.76
4650,5300,3100,0.17,0.35,0.21,1.33
4700,5300,3100,0.11,0.11,0.11,1.03
4350,5350,3100,0.2,0.23,0.28,0.25
4400,5350,3100,0.15,0.17,0.18,0.36
4450,5350,3100,0.21,0.29,0.17,0.45
4500,5350,3100,0.51,0.63,0.33,0.78
4550,5350,3100,1.11,1.09,0.88,2.21
4600,5350,3100,1.57,1.44,0.87,2.04
4650,5350,3100,0.75,0.98,0.37,1.73
4350,5400,3100,0.19,0.17,0.22,0.23
4400,5400,3100,0.16,0.17,0.18,0.33
4450,5400,3100,0.15,0.26,0.16,0.44
4500,5400,3100,0.33,0.41,0.15,0.72
4550,5400,3100,0.83,1.01,0.38,2.15
4600,5400,3100,1.36,1.36,0.45,2.43
4650,5400,3100,0.46,0.66,0.14,1.9
4350,5450,3100,0.26,0.22,0.23,0.21
4400,5450,3100,0.17,0.21,0.21,0.3
4450,5450,3100,0.17,0.18,0.17,0.39
4500,5450,3100,0.28,0.31,0.14,0.63
4550,5450,3100,0.79,1.31,0.44,1.88
4600,5450,3100,2.6,2.41,0.78,2.68
4650,5450,3100,0.81,0.8,0.18,1.68
4350,5500,3100,0.27,0.31,0.31,0.18
4400,5500,3100,0.29,0.29,0.33,0.27
4450,5500,3100,0.45,0.39,0.38,0.35
4500,5500,3100,0.33,0.23,0.23,0.53
4550,5500,3100,0.42,0.43,0.22,1.39
4600,5500,3100,1.18,1.25,0.46,2.15
4350,5550,3100,0.33,0.32,0.35,0.16
4400,5550,3100,0.39,0.33,0.39,0.24
4450,5550,3100,0.47,0.43,0.29,0.31
4500,5550,3100,0.34,0.26,0.18,0.46
4550,5550,3100,0.2,0.17,0.13,0.92
4600,5550,3100,0.71,1.32,0.52,1.3
4400,5600,3100,0.34,0.21,0.17,0.21
4450,5600,3100,0.33,0.28,0.17,0.27
4500,5600,3100,0.11,0.18,0.09,0.38
4750,4850,3075,0.08,0.09,0.1,0.11
4800,4850,3075,0.07,0.07,0.08,0.08
4400,4900,3075,0.56,0.54,0.77,0.54
4450,4900,3075,0.55,0.52,0.74,0.62
4500,4900,3075,0.59,0.5,0.57,0.85
4550,4900,3075,0.58,0.53,0.49,0.73
4600,4900,3075,0.22,0.38,0.3,0.48
4650,4900,3075,0.13,0.16,0.15,0.31
4700,4900,3075,0.11,0.11,0.12,0.2
4750,4900,3075,0.06,0.07,0.09,0.13
4800,4900,3075,0.06,0.08,0.08,0.09
4400,4950,3075,0.54,0.54,0.68,0.56
4450,4950,3075,0.49,0.5,0.68,0.64
4500,4950,3075,0.47,0.45,0.56,0.89
4550,4950,3075,0.49,0.45,0.5,0.84
4600,4950,3075,0.28,0.42,0.35,0.57
4650,4950,3075,0.11,0.1,0.13,0.37
4700,4950,3075,0.1,0.1,0.12,0.24
4750,4950,3075,0.06,0.08,0.09,0.15
4800,4950,3075,0.05,0.06,0.07,0.1
4400,5000,3075,0.47,0.52,0.61,0.58
4450,5000,3075,0.43,0.43,0.53,0.66
4500,5000,3075,0.47,0.55,0.65,0.93
4550,5000,3075,0.59,0.67,0.76,0.95
4600,5000,3075,0.37,0.29,0.31,0.66
4650,5000,3075,0.16,0.22,0.2,0.45
4700,5000,3075,0.11,0.1,0.13,0.29
4750,5000,3075,0.08,0.07,0.09,0.19
4800,5000,3075,0.05,0.05,0.07,0.13
4400,5050,3075,0.37,0.41,0.42,0.61
4450,5050,3075,0.42,0.43,0.54,0.69
4500,5050,3075,0.56,0.65,0.75,0.98
4550,5050,3075,0.68,0.69,0.79,1.09
4600,5050,3075,0.71,0.68,0.67,0.77
4650,5050,3075,0.38,0.55,0.42,0.53
4700,5050,3075,0.13,0.16,0.15,0.36
4750,5050,3075,0.08,0.06,0.07,0.26
4800,5050,3075,0.04,0.05,0.05,0.2
4400,5100,3075,0.3,0.29,0.34,0.63
4450,5100,3075,0.44,0.44,0.5,0.74
4500,5100,3075,0.79,0.84,0.94,1.03
4550,5100,3075,1.12,1.02,1.09,1.26
4600,5100,3075,0.98,0.9,1.04,0.91
4650,5100,3075,0.52,0.55,0.55,0.65
4700,5100,3075,0.22,0.22,0.17,0.49
4750,5100,3075,0.02,0.06,0.05,0.37
4800,5100,3075,0.03,0.04,0.04,0.32
4400,5150,3075,0.27,0.29,0.32,0.61
4450,5150,3075,0.3,0.57,0.51,0.76
4500,5150,3075,0.77,0.77,0.77,1.1
4550,5150,3075,0.71,0.81,1.02,1.47
4600,5150,3075,0.7,0.75,0.92,1.09
4650,5150,3075,0.47,0.47,0.56,0.87
4700,5150,3075,0.26,0.29,0.26,0.67
4750,5150,3075,0.12,0.14,0.07,0.57
4800,5150,3075,0.03,0.08,0.04,0.45
4400,5200,3075,0.35,0.37,0.37,0.58
4450,5200,3075,0.56,0.84,0.71,0.72
4500,5200,3075,0.88,0.91,0.89,1.13
4550,5200,3075,1.17,1.13,1.27,1.78
4600,5200,3075,0.9,0.76,0.83,1.48
4650,5200,3075,0.39,0.39,0.47,1.18
4700,5200,3075,0.4,0.34,0.36,0.98
4750,5200,3075,0.24,0.21,0.12,0.79
4800,5200,3075,0.07,0.12,0.06,0.5
4400,5250,3075,0.48,0.61,0.5,0.55
4450,5250,3075,1.03,1.05,0.98,0.68
4500,5250,3075,1.35,1.32,1.64,1.13
4550,5250,3075,1.34,1.37,1.58,2.25
4600,5250,3075,1.01,0.86,0.95,1.99
4650,5250,3075,0.43,0.43,0.51,1.6
4700,5250,3075,0.4,0.35,0.34,1.41
4750,5250,3075,0.59,0.53,0.2,0.9
4400,5300,3075,0.57,0.72,0.63,0.51
4450,5300,3075,1.11,1.06,1.45,0.67
4500,5300,3075,1.47,1.48,1.67,1.18
4550,5300,3075,1.42,1.56,1.75,2.67
4600,5300,3075,2.32,2.49,2.13,2.45
4650,5300,3075,0.92,1.13,1.07,2.18
4700,5300,3075,2.04,1.43,0.85,1.65
4750,5300,3075,1.02,0.69,0.45,0.86
4400,5350,3075,0.54,0.43,0.51,0.5
4450,5350,3075,0.99,1.03,1.35,0.7
4500,5350,3075,1.16,1.16,1.46,1.18
4550,5350,3075,1.19,1.18,1.52,2.88
4600,5350,3075,2.06,2.32,2.67,2.97
4650,5350,3075,1.41,1.37,0.91,2.52
4700,5350,3075,0.76,0.84,0.58,1.54
4400,5400,3075,0.7,0.58,0.58,0.5
4450,5400,3075,0.93,0.91,1.01,0.71
4500,5400,3075,0.93,0.95,1.23,1.16
4550,5400,3075,1.47,1.57,1.81,2.95
4600,5400,3075,2.21,2.26,2.77,3.39
4650,5400,3075,1.3,1.26,1.01,2.38
4700,5400,3075,0.62,0.52,0.51,1.24
4400,5450,3075,0.61,0.64,0.65,0.46
4450,5450,3075,0.92,0.9,1.05,0.67
4500,5450,3075,1.16,1.16,1.47,1.08
4550,5450,3075,2.61,2.7,2.96,2.7
4600,5450,3075,3.61,3.5,4.16,3.18
4650,5450,3075,2.82,2.44,2.34,2.02
4400,5500,3075,0.57,0.63,0.61,0.42
4450,5500,3075,0.59,0.65,0.73,0.61
4500,5500,3075,0.84,0.81,0.71,0.94
4550,5500,3075,1.62,1.32,0.85,1.87
4600,5500,3075,3.5,3.1,2.63,2.48
4650,5500,3075,3.43,3.23,2.34,1.63
4350,5550,3075,0.35,0.5,0.29,0.26
4400,5550,3075,0.58,0.53,0.42,0.37
4450,5550,3075,0.68,0.66,0.72,0.54
4500,5550,3075,0.76,0.7,0.57,0.78
4550,5550,3075,0.54,0.6,0.49,1.17
4600,5550,3075,1.76,1.38,0.74,1.47
4350,5600,3075,0.11,0.31,0.21,0.23
4400,5600,3075,0.48,0.51,0.36,0.33
4450,5600,3075,0.79,0.67,0.6,0.46
4500,5600,3075,0.71,0.64,0.66,0.6
4550,5600,3075,0.74,0.84,0.68,0.72
4350,5650,3075,0.2,0.44,0.23,0.2
4400,5650,3075,0.45,0.53,0.34,0.28
4450,5650,3075,0.69,0.56,0.48,0.36
4500,5650,3075,0.72,0.55,0.6,0.44
4350,5700,3075,0.31,0.48,0.27,0.17
4400,5700,3075,0.51,0.55,0.36,0.23
4700,4900,3050,0.08,0.09,0.1,0.3
4750,4900,3050,0.05,0.07,0.07,0.19
4800,4900,3050,0.06,0.09,0.07,0.12
4450,4950,3050,0.54,0.53,0.67,0.6
4500,4950,3050,0.53,0.47,0.55,0.92
4550,4950,3050,0.41,0.41,0.43,1.03
4600,4950,3050,0.23,0.34,0.31,0.81
4650,4950,3050,0.13,0.15,0.17,0.54
4700,4950,3050,0.09,0.09,0.11,0.36
4750,4950,3050,0.05,0.07,0.08,0.22
4800,4950,3050,0.06,0.09,0.07,0.13
4450,5000,3050,0.53,0.51,0.68,0.61
4500,5000,3050,0.62,0.66,0.78,0.95
4550,5000,3050,0.7,0.73,0.89,1.14
4600,5000,3050,0.39,0.39,0.41,0.92
4650,5000,3050,0.34,0.43,0.35,0.65
4700,5000,3050,0.26,0.25,0.19,0.43
4750,5000,3050,0.08,0.1,0.1,0.25
4800,5000,3050,0.05,0.07,0.07,0.16
4450,5050,3050,0.69,0.73,0.89,0.63
4500,5050,3050,0.66,0.71,0.9,0.95
4550,5050,3050,0.77,0.74,0.92,1.27
4600,5050,3050,0.66,0.64,0.72,1.03
4650,5050,3050,0.41,0.42,0.49,0.75
4700,5050,3050,0.39,0.44,0.45,0.5
4750,5050,3050,0.29,0.23,0.17,0.31
4800,5050,3050,0.04,0.11,0.07,0.25
4450,5100,3050,0.6,0.64,0.75,0.65
4500,5100,3050,0.89,0.8,0.9,0.96
4550,5100,3050,0.82,0.93,1.13,1.4
4600,5100,3050,0.7,0.74,0.9,1.16
4650,5100,3050,0.53,0.58,0.77,0.85
4700,5100,3050,0.79,0.65,0.59,0.59
4750,5100,3050,0.34,0.27,0.19,0.42
4800,5100,3050,0.21,0.17,0.09,0.38
4450,5150,3050,0.55,0.66,0.69,0.64
4500,5150,3050,0.4,0.56,0.7,0.96
4550,5150,3050,0.86,0.8,0.96,1.53
4600,5150,3050,0.91,0.85,0.99,1.3
4650,5150,3050,0.61,0.63,0.79,1.02
4700,5150,3050,0.53,0.51,0.43,0.73
4750,5150,3050,0.2,0.24,0.16,0.62
4800,5150,3050,0.16,0.23,0.08,0.48
4450,5200,3050,0.59,0.72,0.77,0.62
4500,5200,3050,0.76,0.78,0.91,0.93
4550,5200,3050,0.94,0.89,1.03,1.62
4600,5200,3050,0.79,0.82,0.98,1.51
4650,5200,3050,0.54,0.55,0.7,1.29
4700,5200,3050,0.5,0.45,0.37,1.02
4750,5200,3050,0.27,0.35,0.21,0.8
4800,5200,3050,0.21,0.32,0.17,0.52
4450,5250,3050,0.82,0.79,0.97,0.58
4500,5250,3050,1.28,1.37,1.4,0.89
4550,5250,3050,1.31,1.38,1.65,1.73
4600,5250,3050,0.78,0.86,1.07,1.85
4650,5250,3050,0.61,0.67,0.84,1.64
4700,5250,3050,0.96,0.82,1.06,1.32
4750,5250,3050,0.81,0.69,0.76,0.88
4800,5250,3050,0.6,0.58,0.29,0.51
4450,5300,3050,0.86,0.8,0.98,0.55
4500,5300,3050,1.3,1.25,1.19,0.85
4550,5300,3050,1.91,1.82,1.42,2.04
4600,5300,3050,1.57,1.66,1.54,2.26
4650,5300,3050,1.07,1.06,1.36,2.04
4700,5300,3050,1.26,1.36,1.57,1.48
4750,5300,3050,1.09,1.12,1.02,0.85
4800,5300,3050,0.74,0.96,0.8,0.45
4450,5350,3050,0.66,0.7,0.82,0.55
4500,5350,3050,0.59,0.63,0.69,0.88
4550,5350,3050,0.48,1.31,1.02,2.24
4600,5350,3050,1.77,1.75,1.57,2.67
4650,5350,3050,1.07,1.04,1.14,2.15
4700,5350,3050,1.82,1.36,1.3,1.35
4750,5350,3050,1.34,1.21,1.25,0.75
4400,5400,3050,0.5,0.42,0.44,0.41
4450,5400,3050,0.6,0.64,0.74,0.59
4500,5400,3050,0.77,0.72,0.78,0.91
4550,5400,3050,2.13,1.83,1.53,2.36
4600,5400,3050,2.73,2.49,2.97,2.9
4650,5400,3050,1.17,1.2,1.28,2.03
4700,5400,3050,1.08,1,1.2,1.12
4400,5450,3050,0.38,0.38,0.43,0.41
4450,5450,3050,0.7,0.73,0.85,0.59
4500,5450,3050,1.03,1.01,1.19,0.91
4550,5450,3050,2.5,2.22,2.65,2.1
4600,5450,3050,2.95,2.79,3.37,2.78
4650,5450,3050,1.84,1.74,2.07,1.74
4700,5450,3050,1.62,1.51,1.64,0.9
4400,5500,3050,0.36,0.49,0.39,0.39
4450,5500,3050,0.61,0.77,0.76,0.57
