X,Y,Z,IDS,KRIG,LOGKRIG,20 neurons
4350,4850,3150,0.04,0.04,0.04,0.07
4400,4850,3150,0.07,0.07,0.08,0.07
4450,4850,3150,0.08,0.07,0.09,0.08
4500,4850,3150,0.1,0.08,0.1,0.13
4550,4850,3150,0.11,0.1,0.12,0.1
4600,4850,3150,0.1,0.1,0.12,0.04
4350,4900,3150,0.04,0.05,0.05,0.07
4400,4900,3150,0.06,0.07,0.08,0.08
4450,4900,3150,0.07,0.07,0.09,0.08
4500,4900,3150,0.09,0.08,0.1,0.13
4550,4900,3150,0.11,0.09,0.11,0.11
4600,4900,3150,0.11,0.1,0.12,0.05
4350,4950,3150,0.04,0.04,0.05,0.07
4400,4950,3150,0.04,0.05,0.06,0.08
4450,4950,3150,0.06,0.06,0.08,0.09
4500,4950,3150,0.08,0.07,0.1,0.13
4550,4950,3150,0.09,0.08,0.11,0.12
4600,4950,3150,0.09,0.09,0.11,0.05
4350,5000,3150,0.04,0.04,0.05,0.07
4400,5000,3150,0.04,0.05,0.06,0.08
4450,5000,3150,0.05,0.06,0.07,0.09
4500,5000,3150,0.07,0.07,0.09,0.13
4550,5000,3150,0.08,0.07,0.09,0.14
4350,5050,3150,0.04,0.04,0.04,0.06
4500,5050,3150,0.06,0.06,0.08,0.13
4350,5100,3150,0.02,0.03,0.04,0.06
4400,5100,3150,0.03,0.04,0.05,0.07
4450,5100,3150,0.04,0.04,0.05,0.09
4500,5100,3150,0.05,0.05,0.06,0.13
4350,5150,3150,0.03,0.03,0.04,0.06
4400,5150,3150,0.03,0.04,0.04,0.07
4450,5150,3150,0.04,0.04,0.05,0.09
4500,5150,3150,0.04,0.04,0.06,0.15
4550,5150,3150,0.04,0.05,0.06,0.34
4350,5200,3150,0.03,0.04,0.04,0.05
4400,5200,3150,0.03,0.04,0.05,0.08
4450,5200,3150,0.04,0.04,0.05,0.1
4500,5200,3150,0.04,0.04,0.05,0.17
4550,5200,3150,0.05,0.05,0.05,0.46
4450,5250,3150,0.04,0.03,0.05,0.09
4350,4850,3125,0.23,0.24,0.32,0.17
4400,4850,3125,0.32,0.33,0.35,0.15
4450,4850,3125,0.34,0.33,0.36,0.17
4500,4850,3125,0.33,0.33,0.36,0.35
4550,4850,3125,0.31,0.3,0.29,0.27
4600,4850,3125,0.29,0.3,0.25,0.11
4650,4850,3125,0.22,0.29,0.2,0.06
4350,4900,3125,0.29,0.38,0.4,0.18
4400,4900,3125,0.32,0.39,0.39,0.16
4450,4900,3125,0.35,0.33,0.37,0.18
4500,4900,3125,0.33,0.33,0.38,0.33
4550,4900,3125,0.3,0.3,0.32,0.3
4600,4900,3125,0.29,0.3,0.25,0.12
4650,4900,3125,0.17,0.26,0.18,0.07
4350,4950,3125,0.23,0.32,0.34,0.17
4400,4950,3125,0.24,0.29,0.32,0.18
4450,4950,3125,0.37,0.34,0.38,0.19
4500,4950,3125,0.46,0.44,0.43,0.32
4550,4950,3125,0.35,0.3,0.34,0.33
4600,4950,3125,0.33,0.31,0.32,0.14
4650,4950,3125,0.15,0.16,0.18,0.08
4350,5000,3125,0.23,0.3,0.32,0.17
4400,5000,3125,0.22,0.27,0.33,0.17
4450,5000,3125,0.35,0.32,0.38,0.2
4500,5000,3125,0.55,0.5,0.42,0.31
4550,5000,3125,0.31,0.28,0.3,0.38
4600,5000,3125,0.25,0.21,0.2,0.16
4650,5000,3125,0.12,0.11,0.12,0.1
4350,5050,3125,0.26,0.25,0.3,0.15
4400,5050,3125,0.24,0.28,0.32,0.16
4450,5050,3125,0.29,0.27,0.32,0.2
4500,5050,3125,0.34,0.26,0.25,0.3
4550,5050,3125,0.23,0.23,0.22,0.44
4600,5050,3125,0.18,0.21,0.16,0.2
4650,5050,3125,0.09,0.08,0.08,0.15
4350,5100,3125,0.14,0.18,0.24,0.13
4400,5100,3125,0.2,0.21,0.27,0.16
4450,5100,3125,0.19,0.2,0.21,0.19
4500,5100,3125,0.19,0.22,0.2,0.29
4550,5100,3125,0.17,0.19,0.17,0.56
4600,5100,3125,0.14,0.14,0.11,0.28
4650,5100,3125,0.06,0.05,0.05,0.21
4350,5150,3125,0.18,0.2,0.24,0.12
4400,5150,3125,0.18,0.2,0.21,0.15
4450,5150,3125,0.21,0.29,0.22,0.19
4500,5150,3125,0.13,0.2,0.15,0.3
4550,5150,3125,0.36,0.35,0.21,0.77
4600,5150,3125,0.15,0.17,0.13,0.4
4650,5150,3125,0.04,0.05,0.04,0.31
4350,5200,3125,0.16,0.18,0.21,0.11
4400,5200,3125,0.14,0.12,0.16,0.14
4450,5200,3125,0.23,0.3,0.22,0.2
4500,5200,3125,0.21,0.24,0.18,0.32
4550,5200,3125,0.47,0.39,0.17,1.09
4600,5200,3125,0.2,0.21,0.1,0.57
4650,5200,3125,0.05,0.06,0.04,0.46
4350,5250,3125,0.12,0.12,0.15,0.11
4400,5250,3125,0.12,0.12,0.15,0.14
4450,5250,3125,0.22,0.26,0.2,0.2
4500,5250,3125,0.27,0.29,0.23,0.34
4550,5250,3125,0.24,0.29,0.2,1.34
4600,5250,3125,0.13,0.15,0.1,0.82
4650,5250,3125,0.06,0.06,0.05,0.66
4350,5300,3125,0.09,0.07,0.09,0.11
4400,5300,3125,0.07,0.06,0.07,0.15
4450,5300,3125,0.08,0.12,0.1,0.21
4500,5300,3125,0.12,0.12,0.09,0.36
4550,5300,3125,0.17,0.15,0.11,1.49
4600,5300,3125,0.17,0.16,0.13,1.08
4350,5350,3125,0.07,0.06,0.07,0.11
4400,5350,3125,0.05,0.06,0.06,0.15
4450,5350,3125,0.03,0.03,0.04,0.22
4500,5350,3125,0.07,0.12,0.07,0.38
4550,5350,3125,0.13,0.13,0.1,1.56
4600,5350,3125,0.15,0.14,0.13,1.39
4350,5400,3125,0.05,0.06,0.06,0.1
4400,5400,3125,0.03,0.05,0.05,0.14
4450,5400,3125,0.02,0.02,0.03,0.23
4500,5400,3125,0.03,0.04,0.03,0.39
4550,5400,3125,0.27,0.27,0.08,1.48
4600,5400,3125,0.22,0.19,0.15,1.59
4350,5450,3125,0.03,0.04,0.05,0.1
4400,5450,3125,0.02,0.03,0.03,0.13
4450,5450,3125,0.03,0.03,0.04,0.22
4500,5450,3125,0.02,0.02,0.03,0.38
4550,5450,3125,0.47,0.28,0.07,1.04
4350,5500,3125,0.03,0.03,0.04,0.09
4400,5500,3125,0.03,0.03,0.04,0.13
4450,5500,3125,0.04,0.04,0.04,0.22
4500,5500,3125,0.13,0.19,0.05,0.36
4550,5500,3125,0.23,0.06,0.06,0.59
4450,5550,3125,0.05,0.04,0.04,0.2
4500,5550,3125,0.1,0.24,0.05,0.3
4650,4850,3100,0.24,0.48,0.25,0.15
4700,4850,3100,0.14,0.35,0.18,0.11
4750,4850,3100,0.07,0.07,0.07,0.09
4400,4900,3100,0.46,0.52,0.66,0.3
4450,4900,3100,0.56,0.52,0.73,0.35
4500,4900,3100,0.65,0.58,0.78,0.74
4550,4900,3100,0.65,0.57,0.57,0.7
4600,4900,3100,0.45,0.49,0.37,0.29
4650,4900,3100,0.12,0.33,0.21,0.19
4700,4900,3100,0.09,0.29,0.17,0.14
4400,4950,3100,0.39,0.44,0.57,0.33
4450,4950,3100,0.56,0.53,0.72,0.37
4500,4950,3100,0.69,0.59,0.79,0.75
4550,4950,3100,0.63,0.55,0.64,0.83
4600,4950,3100,0.47,0.5,0.43,0.34
4650,4950,3100,0.22,0.38,0.26,0.22
4700,4950,3100,0.14,0.29,0.16,0.16
4400,5000,3100,0.37,0.41,0.53,0.36
4450,5000,3100,0.51,0.49,0.64,0.39
4500,5000,3100,0.72,0.63,0.78,0.75
4550,5000,3100,0.58,0.53,0.65,0.93
4600,5000,3100,0.5,0.5,0.5,0.4
4650,5000,3100,0.27,0.3,0.22,0.26
4700,5000,3100,0.21,0.3,0.17,0.18
4400,5050,3100,0.32,0.33,0.41,0.35
4450,5050,3100,0.45,0.45,0.61,0.41
4500,5050,3100,0.54,0.51,0.7,0.72
4550,5050,3100,0.48,0.53,0.71,1.08
4600,5050,3100,0.45,0.47,0.49,0.46
4650,5050,3100,0.29,0.34,0.29,0.33
4700,5050,3100,0.18,0.24,0.16,0.24
4400,5100,3100,0.33,0.34,0.46,0.34
4450,5100,3100,0.44,0.48,0.58,0.41
4500,5100,3100,0.63,0.63,0.75,0.69
4550,5100,3100,0.64,0.63,0.81,1.25
4600,5100,3100,0.54,0.49,0.58,0.59
4650,5100,3100,0.27,0.32,0.27,0.49
4700,5100,3100,0.1,0.14,0.11,0.38
4400,5150,3100,0.4,0.47,0.54,0.33
4450,5150,3100,0.46,0.5,0.59,0.38
4500,5150,3100,0.62,0.64,0.78,0.63
4550,5150,3100,0.9,0.82,1,1.59
4600,5150,3100,0.62,0.66,0.76,0.87
4650,5150,3100,0.31,0.27,0.26,0.75
4700,5150,3100,0.09,0.1,0.11,0.63
4750,5150,3100,0.08,0.09,0.09,0.48
4400,5200,3100,0.38,0.35,0.5,0.3
4450,5200,3100,0.58,0.74,0.79,0.39
4500,5200,3100,0.73,0.77,0.92,0.65
4550,5200,3100,0.95,0.92,1.17,2.08
4600,5200,3100,0.78,0.77,0.87,1.35
4650,5200,3100,0.21,0.23,0.24,1.16
4700,5200,3100,0.09,0.1,0.11,0.99
4750,5200,3100,0.08,0.09,0.1,0.76
4400,5250,3100,0.35,0.32,0.45,0.31
4450,5250,3100,0.83,0.92,1.03,0.43
4500,5250,3100,0.91,0.9,1.1,0.73
4550,5250,3100,1,0.99,1.3,2.57
4600,5250,3100,0.87,0.83,0.89,1.75
4650,5250,3100,0.11,0.12,0.14,1.67
4700,5250,3100,0.1,0.11,0.13,1.46
4400,5300,3100,0.26,0.3,0.3,0.34
4450,5300,3100,0.47,0.58,0.38,0.47
4500,5300,3100,0.93,0.89,0.6,0.77
4550,5300,3100,1.14,1.01,0.99,2.97
4600,5300,3100,1.09,1.03,0.86,2.19
4650,5300,3100,0.17,0.35,0.21,1.96
4700,5300,3100,0.11,0.11,0.11,1.71
4350,5350,3100,0.2,0.23,0.28,0.25
4400,5350,3100,0.15,0.17,0.18,0.34
4450,5350,3100,0.21,0.29,0.17,0.5
4500,5350,3100,0.51,0.63,0.33,0.82
4550,5350,3100,1.11,1.09,0.88,3.13
4600,5350,3100,1.57,1.44,0.87,2.7
4650,5350,3100,0.75,0.98,0.37,2.27
4350,5400,3100,0.19,0.17,0.22,0.22
4400,5400,3100,0.16,0.17,0.18,0.3
4450,5400,3100,0.15,0.26,0.16,0.48
4500,5400,3100,0.33,0.41,0.15,0.81
4550,5400,3100,0.83,1.01,0.38,2.9
4600,5400,3100,1.36,1.36,0.45,3.24
4650,5400,3100,0.46,0.66,0.14,2.66
4350,5450,3100,0.26,0.22,0.23,0.19
4400,5450,3100,0.17,0.21,0.21,0.27
4450,5450,3100,0.17,0.18,0.17,0.45
4500,5450,3100,0.28,0.31,0.14,0.76
4550,5450,3100,0.79,1.31,0.44,2.13
4600,5450,3100,2.6,2.41,0.78,3.74
4650,5450,3100,0.81,0.8,0.18,2.48
4350,5500,3100,0.27,0.31,0.31,0.17
4400,5500,3100,0.29,0.29,0.33,0.25
4450,5500,3100,0.45,0.39,0.38,0.42
4500,5500,3100,0.33,0.23,0.23,0.7
4550,5500,3100,0.42,0.43,0.22,1.19
4600,5500,3100,1.18,1.25,0.46,2.79
4350,5550,3100,0.33,0.32,0.35,0.14
4400,5550,3100,0.39,0.33,0.39,0.23
4450,5550,3100,0.47,0.43,0.29,0.39
4500,5550,3100,0.34,0.26,0.18,0.6
4550,5550,3100,0.2,0.17,0.13,0.82
4600,5550,3100,0.71,1.32,0.52,1.27
4400,5600,3100,0.34,0.21,0.17,0.22
4450,5600,3100,0.33,0.28,0.17,0.35
4500,5600,3100,0.11,0.18,0.09,0.5
4750,4850,3075,0.08,0.09,0.1,0.16
4800,4850,3075,0.07,0.07,0.08,0.12
4400,4900,3075,0.56,0.54,0.77,0.39
4450,4900,3075,0.55,0.52,0.74,0.46
4500,4900,3075,0.59,0.5,0.57,0.94
4550,4900,3075,0.58,0.53,0.49,1
4600,4900,3075,0.22,0.38,0.3,0.51
4650,4900,3075,0.13,0.16,0.15,0.35
4700,4900,3075,0.11,0.11,0.12,0.24
4750,4900,3075,0.06,0.07,0.09,0.19
4800,4900,3075,0.06,0.08,0.08,0.15
4400,4950,3075,0.54,0.54,0.68,0.42
4450,4950,3075,0.49,0.5,0.68,0.48
4500,4950,3075,0.47,0.45,0.56,0.99
4550,4950,3075,0.49,0.45,0.5,1.23
4600,4950,3075,0.28,0.42,0.35,0.63
4650,4950,3075,0.11,0.1,0.13,0.43
4700,4950,3075,0.1,0.1,0.12,0.3
4750,4950,3075,0.06,0.08,0.09,0.23
4800,4950,3075,0.05,0.06,0.07,0.19
4400,5000,3075,0.47,0.52,0.61,0.44
4450,5000,3075,0.43,0.43,0.53,0.5
4500,5000,3075,0.47,0.55,0.65,0.99
4550,5000,3075,0.59,0.67,0.76,1.55
4600,5000,3075,0.37,0.29,0.31,0.82
4650,5000,3075,0.16,0.22,0.2,0.54
4700,5000,3075,0.11,0.1,0.13,0.37
4750,5000,3075,0.08,0.07,0.09,0.29
4800,5000,3075,0.05,0.05,0.07,0.24
4400,5050,3075,0.37,0.41,0.42,0.43
4450,5050,3075,0.42,0.43,0.54,0.5
4500,5050,3075,0.56,0.65,0.75,0.98
4550,5050,3075,0.68,0.69,0.79,1.81
4600,5050,3075,0.71,0.68,0.67,1.07
4650,5050,3075,0.38,0.55,0.42,0.71
4700,5050,3075,0.13,0.16,0.15,0.5
4750,5050,3075,0.08,0.06,0.07,0.4
4800,5050,3075,0.04,0.05,0.05,0.32
4400,5100,3075,0.3,0.29,0.34,0.41
4450,5100,3075,0.44,0.44,0.5,0.51
4500,5100,3075,0.79,0.84,0.94,0.96
4550,5100,3075,1.12,1.02,1.09,2.03
4600,5100,3075,0.98,0.9,1.04,1.37
4650,5100,3075,0.52,0.55,0.55,1
4700,5100,3075,0.22,0.22,0.17,0.74
4750,5100,3075,0.02,0.06,0.05,0.57
4800,5100,3075,0.03,0.04,0.04,0.4
4400,5150,3075,0.27,0.29,0.32,0.4
4450,5150,3075,0.3,0.57,0.51,0.5
4500,5150,3075,0.77,0.77,0.77,0.95
4550,5150,3075,0.71,0.81,1.02,2.2
4600,5150,3075,0.7,0.75,0.92,1.64
4650,5150,3075,0.47,0.47,0.56,1.49
4700,5150,3075,0.26,0.29,0.26,1.17
4750,5150,3075,0.12,0.14,0.07,0.8
4800,5150,3075,0.03,0.08,0.04,0.47
4400,5200,3075,0.35,0.37,0.37,0.39
4450,5200,3075,0.56,0.84,0.71,0.51
4500,5200,3075,0.88,0.91,0.89,0.89
4550,5200,3075,1.17,1.13,1.27,2.3
4600,5200,3075,0.9,0.76,0.83,1.96
4650,5200,3075,0.39,0.39,0.47,1.93
4700,5200,3075,0.4,0.34,0.36,1.63
4750,5200,3075,0.24,0.21,0.12,1
4800,5200,3075,0.07,0.12,0.06,0.47
4400,5250,3075,0.48,0.61,0.5,0.39
4450,5250,3075,1.03,1.05,0.98,0.53
4500,5250,3075,1.35,1.32,1.64,0.9
4550,5250,3075,1.34,1.37,1.58,2.68
4600,5250,3075,1.01,0.86,0.95,2.24
4650,5250,3075,0.43,0.43,0.51,2.19
4700,5250,3075,0.4,0.35,0.34,1.98
4750,5250,3075,0.59,0.53,0.2,1.07
4400,5300,3075,0.57,0.72,0.63,0.39
4450,5300,3075,1.11,1.06,1.45,0.57
4500,5300,3075,1.47,1.48,1.67,0.92
4550,5300,3075,1.42,1.56,1.75,2.92
4600,5300,3075,2.32,2.49,2.13,2.58
4650,5300,3075,0.92,1.13,1.07,2.36
4700,5300,3075,2.04,1.43,0.85,1.84
4750,5300,3075,1.02,0.69,0.45,0.94
4400,5350,3075,0.54,0.43,0.51,0.4
4450,5350,3075,0.99,1.03,1.35,0.61
4500,5350,3075,1.16,1.16,1.46,0.98
4550,5350,3075,1.19,1.18,1.52,3.04
4600,5350,3075,2.06,2.32,2.67,3.03
4650,5350,3075,1.41,1.37,0.91,2.54
4700,5350,3075,0.76,0.84,0.58,1.69
4400,5400,3075,0.7,0.58,0.58,0.39
4450,5400,3075,0.93,0.91,1.01,0.65
4500,5400,3075,0.93,0.95,1.23,1.07
4550,5400,3075,1.47,1.57,1.81,2.98
4600,5400,3075,2.21,2.26,2.77,3.37
4650,5400,3075,1.3,1.26,1.01,2.58
4700,5400,3075,0.62,0.52,0.51,1.39
4400,5450,3075,0.61,0.64,0.65,0.4
4450,5450,3075,0.92,0.9,1.05,0.67
4500,5450,3075,1.16,1.16,1.47,1.09
4550,5450,3075,2.61,2.7,2.96,2.26
4600,5450,3075,3.61,3.5,4.16,3.59
4650,5450,3075,2.82,2.44,2.34,2.58
4400,5500,3075,0.57,0.63,0.61,0.41
4450,5500,3075,0.59,0.65,0.73,0.68
4500,5500,3075,0.84,0.81,0.71,1.05
4550,5500,3075,1.62,1.32,0.85,1.51
4600,5500,3075,3.5,3.1,2.63,2.74
4650,5500,3075,3.43,3.23,2.34,1.94
4350,5550,3075,0.35,0.5,0.29,0.25
4400,5550,3075,0.58,0.53,0.42,0.42
4450,5550,3075,0.68,0.66,0.72,0.67
4500,5550,3075,0.76,0.7,0.57,0.99
4550,5550,3075,0.54,0.6,0.49,1.07
4600,5550,3075,1.76,1.38,0.74,1.18
4350,5600,3075,0.11,0.31,0.21,0.25
4400,5600,3075,0.48,0.51,0.36,0.42
4450,5600,3075,0.79,0.67,0.6,0.61
4500,5600,3075,0.71,0.64,0.66,0.77
4550,5600,3075,0.74,0.84,0.68,0.69
4350,5650,3075,0.2,0.44,0.23,0.24
4400,5650,3075,0.45,0.53,0.34,0.36
4450,5650,3075,0.69,0.56,0.48,0.47
4500,5650,3075,0.72,0.55,0.6,0.58
4350,5700,3075,0.31,0.48,0.27,0.21
4400,5700,3075,0.51,0.55,0.36,0.29
4700,4900,3050,0.08,0.09,0.1,0.42
4750,4900,3050,0.05,0.07,0.07,0.31
4800,4900,3050,0.06,0.09,0.07,0.23
4450,4950,3050,0.54,0.53,0.67,0.55
4500,4950,3050,0.53,0.47,0.55,1.09
4550,4950,3050,0.41,0.41,0.43,1.35
4600,4950,3050,0.23,0.34,0.31,1.18
4650,4950,3050,0.13,0.15,0.17,0.83
4700,4950,3050,0.09,0.09,0.11,0.55
4750,4950,3050,0.05,0.07,0.08,0.39
4800,4950,3050,0.06,0.09,0.07,0.27
4450,5000,3050,0.53,0.51,0.68,0.54
4500,5000,3050,0.62,0.66,0.78,1.12
4550,5000,3050,0.7,0.73,0.89,1.63
4600,5000,3050,0.39,0.39,0.41,1.46
4650,5000,3050,0.34,0.43,0.35,1.05
4700,5000,3050,0.26,0.25,0.19,0.69
4750,5000,3050,0.08,0.1,0.1,0.45
4800,5000,3050,0.05,0.07,0.07,0.32
4450,5050,3050,0.69,0.73,0.89,0.52
4500,5050,3050,0.66,0.71,0.9,1.04
4550,5050,3050,0.77,0.74,0.92,1.81
4600,5050,3050,0.66,0.64,0.72,1.62
4650,5050,3050,0.41,0.42,0.49,1.22
4700,5050,3050,0.39,0.44,0.45,0.79
4750,5050,3050,0.29,0.23,0.17,0.52
4800,5050,3050,0.04,0.11,0.07,0.38
4450,5100,3050,0.6,0.64,0.75,0.53
4500,5100,3050,0.89,0.8,0.9,0.97
4550,5100,3050,0.82,0.93,1.13,1.92
4600,5100,3050,0.7,0.74,0.9,1.78
4650,5100,3050,0.53,0.58,0.77,1.36
4700,5100,3050,0.79,0.65,0.59,0.9
4750,5100,3050,0.34,0.27,0.19,0.62
4800,5100,3050,0.21,0.17,0.09,0.45
4450,5150,3050,0.55,0.66,0.69,0.52
4500,5150,3050,0.4,0.56,0.7,0.93
4550,5150,3050,0.86,0.8,0.96,1.97
4600,5150,3050,0.91,0.85,0.99,2.07
4650,5150,3050,0.61,0.63,0.79,1.55
4700,5150,3050,0.53,0.51,0.43,1.13
4750,5150,3050,0.2,0.24,0.16,0.75
4800,5150,3050,0.16,0.23,0.08,0.51
4450,5200,3050,0.59,0.72,0.77,0.52
4500,5200,3050,0.76,0.78,0.91,0.91
4550,5200,3050,0.94,0.89,1.03,2.07
4600,5200,3050,0.79,0.82,0.98,2.2
4650,5200,3050,0.54,0.55,0.7,1.99
4700,5200,3050,0.5,0.45,0.37,1.49
4750,5200,3050,0.27,0.35,0.21,0.88
4800,5200,3050,0.21,0.32,0.17,0.55
4450,5250,3050,0.82,0.79,0.97,0.54
4500,5250,3050,1.28,1.37,1.4,0.87
4550,5250,3050,1.31,1.38,1.65,2.18
4600,5250,3050,0.78,0.86,1.07,2.47
4650,5250,3050,0.61,0.67,0.84,2.37
4700,5250,3050,0.96,0.82,1.06,1.63
4750,5250,3050,0.81,0.69,0.76,0.91
4800,5250,3050,0.6,0.58,0.29,0.49
4450,5300,3050,0.86,0.8,0.98,0.57
4500,5300,3050,1.3,1.25,1.19,0.87
4550,5300,3050,1.91,1.82,1.42,2.31
4600,5300,3050,1.57,1.66,1.54,2.57
4650,5300,3050,1.07,1.06,1.36,2.5
4700,5300,3050,1.26,1.36,1.57,1.71
4750,5300,3050,1.09,1.12,1.02,0.89
4800,5300,3050,0.74,0.96,0.8,0.4
4450,5350,3050,0.66,0.7,0.82,0.61
4500,5350,3050,0.59,0.63,0.69,0.89
4550,5350,3050,0.48,1.31,1.02,2.45
4600,5350,3050,1.77,1.75,1.57,2.73
4650,5350,3050,1.07,1.04,1.14,2.42
4700,5350,3050,1.82,1.36,1.3,1.63
4750,5350,3050,1.34,1.21,1.25,0.78
4400,5400,3050,0.5,0.42,0.44,0.4
4450,5400,3050,0.6,0.64,0.74,0.63
4500,5400,3050,0.77,0.72,0.78,0.94
4550,5400,3050,2.13,1.83,1.53,2.45
4600,5400,3050,2.73,2.49,2.97,3.02
4650,5400,3050,1.17,1.2,1.28,2.21
4700,5400,3050,1.08,1,1.2,1.46
4400,5450,3050,0.38,0.38,0.43,0.39
4450,5450,3050,0.7,0.73,0.85,0.62
4500,5450,3050,1.03,1.01,1.19,0.95
4550,5450,3050,2.5,2.22,2.65,1.99
4600,5450,3050,2.95,2.79,3.37,2.94
4650,5450,3050,1.84,1.74,2.07,2.1
4700,5450,3050,1.62,1.51,1.64,1.21
4400,5500,3050,0.36,0.49,0.39,0.38
4450,5500,3050,0.61,0.77,0.76,0.61
4500,5500,3050,1.2,1.18,1.41,0.93
4550,5500,3050,1.88,1.64,2.09,1.45
4600,5500,3050,1.49,1.65,1.9,2.26
4650,5500,3050,1.56,1.47,1.74,1.72
4700,5500,3050,1.32,1.36,1.47,0.96
4400,5550,3050,0.4,0.5,0.38,0.38
4450,5550,3050,0.76,0.84,0.83,0.6
4500,5550,3050,1.21,1.19,1.43,0.91
4550,5550,3050,1.19,1.2,1.49,1.06
4600,5550,3050,0.96,0.84,0.78,1.1
4650,5550,3050,0.73,0.67,0.63,0.94
